25,Having a graduating senior has finally forced my hand to figure out how to bring our video archives into this new Internets thingy.,1,constituent,figure out
27,And the experience is still paying dividends; this is where I learned to storyboard as well as to improvise when the storyboard became incompatible with reality.,1,constituent,improvise
34,I get why there is a Michigan culture that supports hunting and related lifestyle.,1,constituent,get
35,"Unfortunately, I also understand why there are a very small percentage of zealots who take the guns and rugged independence and separate society to an extreme, and that’s why we end up with groups like the Michigan Militia from the 1990s and now the Hutaree of today.",1,constituent,understand
50,"To get the most beneficial bumper boat, one which is well-made and may last for quite some time, you have to know how to decide on the correct manufacturer.",1,constituent,know
53,You simply need to know how to locate them and evaluate each company.,1,constituent,know
82,"Query why, exactly, we allow a tax deduction for charitable giving.",1,constituent,query
87,"In this article, we try to understand how people made sense of a family death, within the social contexts of their lives.",1,constituent,understand
89,"We discuss how people made sense of the family death in relation to three main contexts: family, religion, and materiality.",1,constituent,discuss
114,One should never apologize for how they are feeling.,1,constituent,apologize for
145,Find out how you can take your business to the next level in Washington State by contacting one of our business experts right now!,1,constituent,Find out
157,"Clearer, perhaps, than even Action Comics #775, the conclusion of In the Name of Gog demonstrates why Superman is the world's greatest super-hero, bar none.",1,constituent,demonstrates
164,"And the Nightwing/Superboy pairing is ingenious; it makes you wonder why no one's put these two legacy heroes together before, and I'm eager to see how that plays out in Teen Titans: Life and Death.",1,constituent,wonder
176,"It remains to be seen how DC might collect the various crossover miniseries specials, however, perhaps along with the lead story from the Infinite Crisis Secret Files.",1,constituent,seen
179,"Whether Vengeance will include Sam Loeb's #26, and how DC will collect Mark Verheiden's issues after Jeph Loeb departs, remains to be seen.",1,constituent,seen
185,I was sad and upset at a lot of her decisions but I understood how messed up things were for her.,1,constituent,understood
200,"This explains why imported basic commodities, such as chicken, milk and toilet paper, are now scarce, just as in the old Soviet Union, or in today’s Cuba.",1,constituent,explains
202,"Delving into history, I hear the refrain, “BREAD and CIRCUSES” The Roman emperors kept the Roman mob satisfied with bread and circuses, food and entertainment, (now you understand why the liberal elite controls Hollywood,) while looting the empire to pay for the bread and the circuses, and to quiet the mob.",1,constituent,understand
213,"However, it’s important to discuss the way In the Future came to be and how the process impacts the album.",1,constituent,discuss
233,"In an article explaining why the Conservancy is stepping up its collaboration with IHA, which you can read in full here, its Director of Sustainable Hydropower Dr. Jeff Opperman said, We want to do our part to help create a future world, one where people can live, learn and thrive supported by a sustainable energy system and one that harbours beautiful and productive rivers, including wild ones.",1,constituent,explaining
328,We are happy to discuss your case and how we can help you.,1,constituent,discuss
341,"Everybody's motivations are reasonable, but it's not too clear why Troy doesn't just sit tight behind its imposing walls.",1,constituent,clear
350,"But one of the questions I asked myself is, I wonder how many people talk with God even a fraction of the time they spend on their cell phone?",1,constituent,wonder
370,"We work with the client to discuss how they plan on incorporating the strategic plan, who will be involved, how detailed of a plan they need for their organization, how they plan on communicating it, and, if they have a board, how they will be involved in the process.",1,constituent,discuss
375,"-- When Lamar Jackson is asked about how much he has grown, the Baltimore Ravens quarterback thinks to last year's practices where he would get the play from a coach and try to repeat it in the huddle before stopping.",1,constituent,asked about
377,I cannot wait to see how this thing ends up.,1,constituent,see
394,"Once self storage sees how much money has been wasted on items the child does not play with, it may help to curb future purchases.",1,constituent,sees
446,"First, however, it would be very useful for the Wall Street Journal to explain, in clear and simple language, how handing over near-total control of the financial markets and the creation of money and credit to the State is in any way promoting ""the cause of free markets.""",1,constituent,explain
482,I don't know how long awhile will be.,1,constituent,know
539,I usually went along and listened because I am interested enough to spend a couple of hours hearing why people think Amway is a good idea.,1,constituent,hearing
546,"“Spare time is a foreign concept to us”, Ben answered when I asked how swamped they get before a tour.",1,constituent,asked
547,A journalist once asked us how we were doing so well.,1,constituent,asked
550,"Well, since my husband's father suffered from dementia and I know how confused they can get, I could already relate to his issues.",1,constituent,know
556,Even less frequently do we hear of how the survivors continue with their lives and search for some sort of resolution.,1,constituent,hear of
